CB(Vd=0.2: Vg=3.0) X,CB(Vd=0.2: Vg=3.0) Y,VB(Vd=0.2: Vg=3.0) X,VB(Vd=0.2: Vg=3.0) Y,CB(Vd=0.2: Vg=0.9) X,CB(Vd=0.2: Vg=0.9) Y,VB(Vd=0.2: Vg=0.9) X,VB(Vd=0.2: Vg=0.9) Y,CB(Vd=0.2: Vg=0.3) X,CB(Vd=0.2: Vg=0.3) Y,VB(Vd=0.2: Vg=0.3) X,VB(Vd=0.2: Vg=0.3) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y
0.24834204,0.35249546,0.24834204,-0.77166377,0.24834204,0.45590639,0.24834204,-0.66825284,0.24834204,0.80966424,0.24834204,-0.31449499,0.24834204,0.91096092,0.24834204,-0.21319831
0.26728296,0.3417314,0.26728296,-0.78242783,0.26728296,0.44275508,0.26728296,-0.68140415,0.26728296,0.79598837,0.26728296,-0.32817086,0.26728296,0.90729587,0.26728296,-0.21686336
0.28125,0.33519382,0.28125,-0.78896542,0.28125,0.4341573,0.28125,-0.69000193,0.28125,0.78595284,0.28125,-0.33820639,0.28125,0.90446013,0.28125,-0.2196991
0.29521704,0.32786766,0.29521704,-0.79629157,0.29521704,0.42427912,0.29521704,-0.69988011,0.29521704,0.77303094,0.29521704,-0.35112829,0.29521704,0.89936045,0.29521704,-0.22479878
0.31415796,0.31371752,0.31415796,-0.81044171,0.31415796,0.4065595,0.31415796,-0.71759973,0.31415796,0.75022176,0.31415796,-0.37393747,0.31415796,0.88859504,0.31415796,-0.23556419
0.328125,0.30514468,0.328125,-0.81901455,0.328125,0.39500129,0.328125,-0.72915794,0.328125,0.73418284,0.328125,-0.38997639,0.328125,0.88069274,0.328125,-0.24346649
0.34209204,0.29535725,0.34209204,-0.82880198,0.34209204,0.3816178,0.34209204,-0.74254143,0.34209204,0.71407006,0.34209204,-0.41008917,0.34209204,0.86811722,0.34209204,-0.25604201
0.36103296,0.27636394,0.36103296,-0.84779529,0.36103296,0.35785815,0.36103296,-0.76630108,0.36103296,0.68030318,0.36103296,-0.44385605,0.36103296,0.84528006,0.36103296,-0.27887917
0.375,0.26497021,0.375,-0.85918902,0.375,0.34228239,0.375,-0.78187684,0.375,0.65568184,0.375,-0.46847739,0.375,0.82732208,0.375,-0.29683715
0.38896704,0.25173923,0.38896704,-0.87242,0.38896704,0.32402416,0.38896704,-0.80013507,0.38896704,0.6246247,0.38896704,-0.49953453,0.38896704,0.80135329,0.38896704,-0.32280595
