CB(Vd=4.5: Vg=2.5) X,CB(Vd=4.5: Vg=2.5) Y,VB(Vd=4.5: Vg=2.5) X,VB(Vd=4.5: Vg=2.5) Y,CB(Vd=1.6: Vg=2.5) X,CB(Vd=1.6: Vg=2.5) Y,VB(Vd=1.6: Vg=2.5) X,VB(Vd=1.6: Vg=2.5) Y,CB(Vd=0.2: Vg=2.5) X,CB(Vd=0.2: Vg=2.5) Y,VB(Vd=0.2: Vg=2.5) X,VB(Vd=0.2: Vg=2.5) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,VB(Vd=0.0: Vg=0.0) X,VB(Vd=0.0: Vg=0.0) Y
-0.38132119,-0.6557713,-0.38132119,-1.7799305,-0.38132119,-0.59696071,-0.38132119,-1.7211199,-0.38132119,0.065305639,-0.38132119,-1.0588536,-0.38132119,0.88611389,-0.38132119,-0.23804534
-0.38039756,-0.65674487,-0.38039756,-1.7809041,-0.38039756,-0.59778551,-0.38039756,-1.7219447,-0.38039756,0.065349215,-0.38039756,-1.05881,-0.38039756,0.88692945,-0.38039756,-0.23722978
-0.375,-0.66128428,-0.375,-1.7854435,-0.375,-0.6016233,-0.375,-1.7257825,-0.375,0.065264495,-0.375,-1.0588947,-0.375,0.89064241,-0.375,-0.23351682
-0.36960244,-0.66548543,-0.36960244,-1.7896447,-0.36960244,-0.60514502,-0.36960244,-1.7293042,-0.36960244,0.065347036,-0.36960244,-1.0588122,-0.36960244,0.89390362,-0.36960244,-0.23025561
-0.36867881,-0.66633678,-0.36867881,-1.790496,-0.36867881,-0.60585711,-0.36867881,-1.7300163,-0.36867881,0.065389656,-0.36867881,-1.0587696,-0.36867881,0.89455173,-0.36867881,-0.22960751
-0.36328125,-0.67043506,-0.36328125,-1.7945943,-0.36328125,-0.60929425,-0.36328125,-1.7334535,-0.36328125,0.065302107,-0.36328125,-1.0588571,-0.36328125,0.89748564,-0.36328125,-0.22667359
-0.35788369,-0.67427433,-0.35788369,-1.7984336,-0.35788369,-0.61248806,-0.35788369,-1.7366473,-0.35788369,0.06537357,-0.35788369,-1.0587857,-0.35788369,0.90005874,-0.35788369,-0.22410049
-0.35696006,-0.67503947,-0.35696006,-1.7991987,-0.35696006,-0.61312191,-0.35696006,-1.7372811,-0.35696006,0.065412145,-0.35696006,-1.0587471,-0.35696006,0.9005733,-0.35696006,-0.22358593
-0.3515625,-0.67882118,-0.3515625,-1.8029804,-0.3515625,-0.61627374,-0.3515625,-1.740433,-0.3515625,0.065315486,-0.3515625,-1.0588437,-0.3515625,0.90288358,-0.3515625,-0.22127565
-0.34616494,-0.68238847,-0.34616494,-1.8065477,-0.34616494,-0.61922296,-0.34616494,-1.7433822,-0.34616494,0.065375021,-0.34616494,-1.0587842,-0.34616494,0.90489999,-0.34616494,-0.21925924
-0.34524131,-0.68308448,-0.34524131,-1.8072437,-0.34524131,-0.6197945,-0.34524131,-1.7439537,-0.34524131,0.06541058,-0.34524131,-1.0587487,-0.34524131,0.90530364,-0.34524131,-0.21885559
-0.33984375,-0.68662806,-0.33984375,-1.8107873,-0.33984375,-0.62273259,-0.33984375,-1.7468918,-0.33984375,0.065304367,-0.33984375,-1.0588549,-0.33984375,0.90710996,-0.33984375,-0.21704927
-0.33444619,-0.68999996,-0.33444619,-1.8141592,-0.33444619,-0.62550672,-0.33444619,-1.749666,-0.33444619,0.06534837,-0.33444619,-1.0588109,-0.33444619,0.90868247,-0.33444619,-0.21547676
-0.33352256,-0.6906483,-0.33352256,-1.8148075,-0.33352256,-0.62603548,-0.33352256,-1.7501947,-0.33352256,0.065378779,-0.33352256,-1.0587805,-0.33352256,0.90899869,-0.33352256,-0.21516054
-0.328125,-0.69402235,-0.328125,-1.8181816,-0.328125,-0.62882118,-0.328125,-1.7529804,-0.328125,0.065259568,-0.328125,-1.0588997,-0.328125,0.91040493,-0.328125,-0.2137543
-0.32272744,-0.69724728,-0.32272744,-1.8214065,-0.32272744,-0.63146294,-0.32272744,-1.7556222,-0.32272744,0.065289297,-0.32272744,-1.0588699,-0.32272744,0.91162203,-0.32272744,-0.2125372
-0.32180381,-0.69785644,-0.32180381,-1.8220157,-0.32180381,-0.63195638,-0.32180381,-1.7561156,-0.32180381,0.065316129,-0.32180381,-1.0588431,-0.32180381,0.91186653,-0.32180381,-0.2122927
-0.31640625,-0.70110264,-0.31640625,-1.8252619,-0.31640625,-0.63462625,-0.31640625,-1.7587855,-0.31640625,0.065185188,-0.31640625,-1.058974,-0.31640625,0.91295323,-0.31640625,-0.211206
-0.31100869,-0.70422485,-0.31100869,-1.8283841,-0.31100869,-0.63717472,-0.31100869,-1.761334,-0.31100869,0.065198272,-0.31100869,-1.058961,-0.31100869,0.91389121,-0.31100869,-0.21026802
-0.31008506,-0.70480809,-0.31008506,-1.8289673,-0.31008506,-0.63764482,-0.31008506,-1.7618041,-0.31008506,0.065219706,-0.31008506,-1.0589395,-0.31008506,0.91408038,-0.31008506,-0.21007886
-0.3046875,-0.70796647,-0.3046875,-1.8321257,-0.3046875,-0.64023407,-0.3046875,-1.7643933,-0.3046875,0.065074596,-0.3046875,-1.0590846,-0.3046875,0.91491749,-0.3046875,-0.20924174
-0.29928994,-0.71101315,-0.29928994,-1.8351724,-0.29928994,-0.64271229,-0.29928994,-1.7668715,-0.29928994,0.065073027,-0.29928994,-1.0590862,-0.29928994,0.91563552,-0.29928994,-0.20852371
-0.29836631,-0.71157483,-0.29836631,-1.8357341,-0.29836631,-0.64316254,-0.29836631,-1.7673218,-0.29836631,0.065090803,-0.29836631,-1.0590684,-0.29836631,0.91578009,-0.29836631,-0.20837914
-0.29296875,-0.71466892,-0.29296875,-1.8388282,-0.29296875,-0.64569081,-0.29296875,-1.76985,-0.29296875,0.064933454,-0.29296875,-1.0592258,-0.29296875,0.91642086,-0.29296875,-0.20773837
-0.28757119,-0.71766676,-0.28757119,-1.841826,-0.28757119,-0.64812167,-0.28757119,-1.7722809,-0.28757119,0.064915517,-0.28757119,-1.0592437,-0.28757119,0.91696873,-0.28757119,-0.2071905
-0.28664756,-0.71821539,-0.28664756,-1.8423746,-0.28664756,-0.64855961,-0.28664756,-1.7727188,-0.28664756,0.064928024,-0.28664756,-1.0592312,-0.28664756,0.9170795,-0.28664756,-0.20707973
-0.28125,-0.72126948,-0.28125,-1.8454287,-0.28125,-0.65104765,-0.28125,-1.7752069,-0.28125,0.064756631,-0.28125,-1.0594026,-0.28125,0.91756905,-0.28125,-0.20659018
-0.27585244,-0.72423357,-0.27585244,-1.8483928,-0.27585244,-0.65344324,-0.27585244,-1.7776025,-0.27585244,0.064724807,-0.27585244,-1.0594344,-0.27585244,0.91798434,-0.27585244,-0.20617489
